country,GDP change from climate damage,Real income change
ARG,-2.59297563943877,-0.6854251929299267
AUS,-0.7764372131924626,-0.5380969524906902
AUT,-0.5387611074628946,0.1509559891882617
BEL,-0.25108691008763045,-0.10817840368909515
BGR,-1.8281704244720351,-0.08311275409563734
BRA,-3.3009860232986554,-1.443031359410213
BRN,-3.9396579227022133,-2.570478312796965
CAN,-0.839717892636886,-0.06537348714826408
CHE,-0.3530141688540595,0.4633180988270311
CHL,-1.0911389695078348,0.7175452993957663
CHN,-1.333838343173639,-1.229868288795359
COL,-3.948858372954888,-1.217763526816924
CRI,-2.3560634789160426,-0.05376567921197761
CYP,-1.6319564293793682,-1.1182661309848498
CZE,-0.7790123694666192,0.025494225952684246
DEU,-0.44948732980954537,0.18205600121335408
DNK,-0.3941055221017262,0.921825863037057
ESP,-0.8813744073105111,0.17967366245615324
EST,-0.6382062801002185,-1.4607420261297932
FIN,-0.6509610431970675,-0.12199433454480868
FRA,-0.7170960626007672,-0.1653769529249871
GBR,-0.5049678948048258,-0.4437851117735505
GRC,-1.0297078049166861,-0.08911926419999361
HRV,-1.700866158341742,-0.7175138002673833
HUN,-0.7106625681272719,-0.16096574086665782
IDN,-1.7612069680286007,-2.9131049633790838
IND,-6.627139157278283,-2.0788224358095704
IRL,-0.2361967480777894,2.5667686356149346
ISL,-0.29176244511044996,0.8410868476826749
ISR,-1.6315805802627992,-0.36760534391815725
ITA,-0.6585292888609182,-0.021476615737086036
JPN,-0.511091501056458,-0.10885957069044139
KAZ,-3.0690734236197943,-0.25899680766214317
KHM,-3.7193934539493934,-7.873961286731642
KOR,-0.5481846385297642,0.21142187264113943
LAO,-3.1842068047006675,-4.033912958049456
LTU,-1.3663757906170666,-0.5489400577479273
LVA,-1.06448254707495,-0.6365563143705231
MAR,-3.212522563395609,-1.6780807158532411
MEX,-4.045294653822815,-0.8304355951520392
MLT,-14.60507822158702,-0.9028717844703493
MMR,-2.5734702954980158,-6.406406593000369
NLD,-0.4606720251948458,0.8389149681301262
NOR,-0.569383077727526,0.04901732762586164
NZL,-0.3924010534443401,-0.3343876922270965
PER,-3.2015588321696145,-1.5879861953965815
PHL,-2.8749588455765487,-1.7966714474155054
POL,-0.8222656583481595,-0.5531190199433098
PRT,-0.6202174565193063,-0.248172154488131
ROU,-1.1718891273284908,-0.669581445554229
ROW,-0.0449724184829497,-1.6135873132915322
RUS,-1.9573618549704959,-0.8827315376071141
SAU,-7.719577617184921,-2.627748585977656
SGP,-1.6053613145869035,0.16167829417888413
SVK,-0.8118990077141598,-0.4235436258121865
SVN,-0.794292821991739,0.0007242952321888652
SWE,-0.6221519656325701,-0.1306857601338578
THA,-2.1570432732271954,0.10927144144297074
TUN,-4.789545976465677,-1.9410782009916687
TUR,-4.089787169157097,-0.8268616725625151
TWN,-31.78925458420086,0.3182730736217394
USA,-1.0425548253421992,-0.421435881702763
VNM,-2.0206191907712463,-2.498509093294416
ZAF,-3.2043261792091333,-2.3110546777627405
