col_country,GDP,Welfare change
ARG,0.022430607155119235,1.0195832945214285
AUS,0.10081060856401551,1.0024020530407063
AUT,0.09705385767836733,1.0069345315253548
BEL,0.11879888858844954,1.0014326823418087
BGR,0.018095129248464712,1.0177755439408802
BRA,0.015652747221695868,1.0192137912009744
BRN,0.05775887811073109,1.014253328483918
CAN,0.08063278506506837,1.0078090177743768
CHE,0.14746673234947333,1.0081922424534182
CHL,0.031663718212099644,1.018286372424671
CHN,0.017044823457856153,1.0010537559446155
COL,0.011796872215792011,1.0284337572659208
CRI,0.02443903522896961,1.0235785024829158
CYP,0.0362914477227475,1.0052221258017167
CZE,0.04293919259801566,1.0081082300693782
DEU,0.08942463296696433,1.0063439485551942
DNK,0.112914279846655,1.0132113806320044
ESP,0.06030525841715147,1.0107048303325639
EST,0.03999613942413404,0.9917218106151717
FIN,0.09567908828614656,1.0053243263770497
FRA,0.0890362585984418,1.0055570404147691
GBR,0.080496390237894,1.0006149330447633
GRC,0.04219404712793696,1.0095037462237928
HRV,0.03168894269762278,1.0100036726636712
HUN,0.030933730791659023,1.0055363127751535
IDN,0.007129883203631135,0.9882745098977793
IND,0.005265210288168245,1.0487113351826067
IRL,0.16052734834787935,1.0280960157123793
ISL,0.1188321794710251,1.0113616419322375
ISR,0.0877094589259555,1.012849400689781
ITA,0.07834224096784972,1.0064127566117502
JPN,0.07298351828067894,1.0040429826443447
KAZ,0.017799539574237612,1.0289905060769573
KHM,0.002433455946202768,0.9568493803495605
KOR,0.059720430335728804,1.0076379350986207
LAO,0.004178987120064365,0.9912234757852497
LTU,0.034343477504453074,1.0082875970483844
LVA,0.03253692890982816,1.0043253044378935
MAR,0.00911794729299588,1.0158537229007485
MEX,0.02081195842904645,1.0335039229923377
MLT,0.060354058532516276,1.1604569235706057
MMR,0.00244727450642233,0.9606581871577713
NLD,0.09711372604884039,1.0130560153435426
NOR,0.14896064929118358,1.0062194163578086
NZL,0.07111801825980005,1.0005824190305839
PER,0.011599783862314356,1.0166694072477407
PHL,0.007228437341697643,1.0111020534492914
POL,0.03002470018003312,1.0027137808722035
PRT,0.043589947316790785,1.0037436719271184
ROU,0.02573172885422175,1.0050826397200026
ROW,0.006508542732160502,0.9843067934373855
RUS,0.019895599082609624,1.0109608466040432
SAU,0.05276240873586707,1.0551777820227608
SGP,0.037514237958725646,1.0179586980792252
SVK,0.037267964805755956,1.0039153424454832
SVN,0.04983410427433053,1.0080138244042494
SWE,0.09957338495386675,1.0049454301458485
THA,0.012396209128610955,1.0231627782978685
TUN,0.00895098408446721,1.0299175947083492
TUR,0.022472326170302093,1.0340206261699096
TWN,0.04926677908606794,1.4707106990563068
USA,0.12451518113729781,1.006276626711039
VNM,0.003924423011866182,0.9951225462074142
ZAF,0.013940834059086053,1.0092284238146862
