country,value
ARG,-171.8511029611017
AUS,-2185.4576629101807
AUT,-3032.509798151277
BEL,-3234.552766664953
BGR,-329.7401211671335
BRA,11582.908282768642
BRN,194.71505664554238
CAN,-9679.517948578246
CHE,-5705.544937298419
CHL,-3804.6048338682126
CHN,70013.1598884948
COL,1530.3319976541773
CRI,-333.1220313055265
CYP,70.07577161925113
CZE,-1145.5708835280475
DEU,-25202.122627157296
DNK,-4516.772061694728
ESP,-9508.421061826555
EST,212.26905312823408
FIN,-1458.4064464703347
FRA,-12751.13719302374
GBR,-6594.472263012094
GRC,-1152.2713808748601
HRV,10.298292312893839
HUN,-589.3252638863606
IDN,21589.52823230218
IND,36435.77809894622
IRL,-6892.829027839519
ISL,-349.5031653248962
ISR,-980.0434255351676
ITA,-10997.45114704369
JPN,-24571.32589013889
KAZ,-424.22724714336744
KHM,1769.7918630978397
KOR,-11875.30481103599
LAO,621.8606414956643
LTU,-71.10210500567352
LVA,-22.248027662861652
MAR,1010.3955784457056
MEX,1593.7253594356532
MLT,39.555149930089335
MMR,3919.734755827202
NLD,-9849.736824896325
NOR,-2398.3114027578968
NZL,-677.7492593834074
PER,1794.1304488530745
PHL,3610.7540240793196
POL,-292.68461060788655
PRT,-931.2968883379087
ROU,-134.12073588259815
ROW,48681.45957610506
RUS,3327.6240424507414
SAU,11184.786483137086
SGP,-4558.127086183306
SVK,-183.35087222608013
SVN,-255.3751799164075
SWE,-2565.8430476104872
THA,-2957.2456817796506
TUN,468.4971908978982
TUR,931.1290483154116
TWN,-4199.424040831446
USA,-52913.094947077065
VNM,3951.9035317566645
ZAF,4951.383440876743
